Contract Name,Type,Sale Date,Transaction Date,Source,Sub Source,Description,Territory,Barcode,Cat No,Release Title,Release Version,Release Artist,Release Label,PPD,ISRC,Track Title,Track Version,Track Artist,Track Label,Distribution Channel,Configuration,Price Category,Units,Per Unit Rate,Gross Amount in Currency,Net Amount in Currency,Original Currency,Exchange Rate,Gross Amount,Net Amount,Calculation Type,Calculation Input,Participation Rate,Pro Rata,Mechanical Deduction Type,Mechanical Deduction Rate,Mechanical Deduction,Deduction Unit Rate,Deduction Rate,Deduction,Royalty Rate,Unit Rate,Multiplier,Reduction Rate,Net Payable,Reserve Rate,Reserve,Specific Withholding Tax Rate,Specific Withholding Tax,Currency
UniFLOWs Label,Track,2026-06-24,2026-08-01,YouTube,,,VN,016627813848,016627813848,"Đôi tay, bàn chân và những giấc mơ nhỏ",,Khờ Band,UniFLOWs Label,0,VNA1M2601128,"Đôi tay, bàn chân và những giấc mơ nhỏ",,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube,,,DE,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,2,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Meta,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,IG_MUSIC_NOTES,,2,0.028977734999999998,0.00000226414058679663,0.00000223,USD,25989,0.058842749710257616,0.057955469999999995,Net Receipts,0.057955469999999995,100,0.05795546999999999,,100,0,,2.6,0.0015068422199999998,70,,1,,0.039514039445999995,0,0,,0,VND
UniFLOWs Label,Track,2026-06-30,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,3,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-25,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,4,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Spotify,,,NG,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Stream,,3,5.080629641,0.000521765,0.000513939,EUR,29657,15.473984605,15.241888923000001,Net Receipts,15.241888923000001,100,15.241888923000001,,100,0,,2.6,0.396289111998,70,,1,,10.391919867701398,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Spotify,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Stream,,32,17.389174351,0.019048716,0.018762985,EUR,29656.999999999996,564.927770412,556.4538461449999,Net Receipts,556.4538461449999,100,556.4538461449999,,100,0,,2.6,14.46779999977,70,,1,,379.39023230166094,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Spotify,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,26.735696529000002,0.000915225,0.000901497,EUR,29657,27.142827824999998,26.735696529000002,Net Receipts,26.735696529000002,100,26.735696529000002,,100,0,,2.6,0.695128109754,70,,1,,18.228397893472206,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,CA,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Family Promotion Stream,,1,138.588892715,0.005414638853,0.005333419,USD,25984.999999999996,140.699390595205,138.588892715,Net Receipts,138.588892715,100,138.588892715,,100,0,,2.6,3.60331121059,70,,1,,94.489907053087,0,0,,0,VND
UniFLOWs Label,Track,2026-06-05,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-03,2026-08-01,YouTube,,,JP,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-11,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-04,2026-08-01,YouTube,,,LA,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,2,1.7135587259999998,0.000133875,0.000131867,USD,25989,3.4792773749999997,3.427091463,Net Receipts,3.427091463,100,3.427091463,,100,0,,2.6,0.089104378038,70,,1,,2.3365909594734,0,0,,0,VND
UniFLOWs Label,Track,2026-06-07,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,2,8.164548305999999,0.000637875,0.000628307,USD,25988.999999999996,16.577733375,16.329070623,Net Receipts,16.329070623,100,16.329070623,,100,0,,2.6,0.424555836198,70,,1,,11.133160350761402,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Stream,,1,70.25221447999999,0.002744739504,0.002703568,USD,25984.999999999996,71.32205601144,70.25221447999999,Net Receipts,70.25221447999999,100,70.25221447999999,,100,0,,2.6,1.82655757648,70,,1,,47.897959832464,0,0,,0,VND
UniFLOWs Label,Track,2026-06-02,2026-08-01,YouTube,,,IN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-27,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,6,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-10,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,5,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-08,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,9,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Meta,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,IG_MUSIC_STICKER,,19,0.028977734999999998,0.00002150933557196409,0.000021187,USD,25989,0.5590061221797747,0.550628943,Net Receipts,0.550628943,100,0.550628943,,100,0,,2.6,0.014316352518,70,,1,,0.3754188133374,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,US,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Family Promotion Stream,,3,188.39985103499998,0.022082225601,0.021750992,USD,25985,573.806632241985,565.19952712,Net Receipts,565.19952712,100,565.19952712,,100,0,,2.6,14.695187705119999,70,,1,,385.35303759041597,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,US,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,243.8364839,0.009526639752,0.00938374,USD,25985,247.54973395572,243.8364839,Net Receipts,243.8364839,100,243.8364839,,100,0,,2.6,6.3397485814,70,,1,,166.24771472302,0,0,,0,VND
UniFLOWs Label,Track,2026-06-29,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-04,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,51,1.273850835,0.00253785,0.002499782,USD,25989.000000000004,65.95618365,64.966834398,Net Receipts,64.966834398,100,64.966834398,,100,0,,2.6,1.689137694348,70,,1,,44.29438769255641,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Spotify,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Stream,,2,10.31678059,0.000706335,0.00069574,EUR,29657,20.947777095,20.63356118,Net Receipts,20.63356118,100,20.63356118,,100,0,,2.6,0.5364725906800001,70,,1,,14.067962012524001,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,TikTok,TikTok,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,UGC,,1,0,9.908e-7,8.92e-7,USD,25989,0.025749901199999998,0.023182188,Net Receipts,0.023182188,100,0.023182188,,100,0,,2.6,0.000602736888,70,,1,,0.015805615778400003,0,0,,0,VND
